AID,SID,CID,Activity Outcome,Target Accession,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Assay Type,PubMed ID,RNAi
1259392,144206832,65870,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206833,127998,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206834,129319,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206835,23684123,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206836,19879,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206837,20054967,Active,AAI13617,2737,7.79114,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206838,3045414,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206839,60810,Inconclusive,AAI13617,2737,26.6032,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206840,65953,Inconclusive,AAI13617,2737,26.6032,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206842,443947,Inconclusive,AAI13617,2737,29.8493,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206843,4726,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206845,164486,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206846,20749,Inconclusive,AAI13617,2737,1.88336,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206847,19596,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206848,60751,Inconclusive,AAI13617,2737,8.7418,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206849,34051,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206850,129991,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206851,119175,Active,AAI13617,2737,22.3838,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206852,60196351,Inconclusive,AAI13617,2737,31.0171,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206853,5464257,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206854,71793,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206855,5311398,Inactive,AAI13617,2737,,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
1259392,144206857,60021,Inconclusive,AAI13617,2737,2.51151,Potency,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,Summary,,
